dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_06_1655,29,417987443,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,189840,189.84,mid,unknown,no
dataset_2026_05_06_1655,30,417987450,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,(no name),Frankfurt am Main,DE,18288,18.29,fr2,fr2,yes
dataset_2026_05_06_1655,31,417987455,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,Forward Industries,Europe/London,GB,16879,16.88,fr2,fr2,yes
dataset_2026_05_06_1655,32,417987461,,(no data),,,17629,17.63,fr2,unknown,no
dataset_2026_05_06_1655,33,417987467,D2RV1q6FgePVVjrMa7AMzVbvvAeg5oS7TAV7qdNKSDsX,Validatore,Šiauliai,LT,18316,18.32,fr2,fr2,yes
dataset_2026_05_06_1655,34,417987473,EdGevanA2MZsDpxDXK6b36FH7RCcTuDZZRcc6MEyE9hy,Edgevana,Amsterdam,NL,458402,458.40,tyo,fr2,no
dataset_2026_05_06_1655,35,417987480,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,(no data),,,18510,18.51,fr2,unknown,no
dataset_2026_05_06_1655,36,417987485,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,Coinbase 04,Amsterdam,NL,18966,18.97,fr2,fr2,yes
dataset_2026_05_06_1655,37,417987490,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,Ashburn,US,461339,461.34,tyo,mid,no
dataset_2026_05_06_1655,38,417987497,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,(no name),City of London,GB,18362,18.36,fr2,fr2,yes
dataset_2026_05_06_1655,39,417987503,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,Haus – Best APY & No Fees,Fechenheim,DE,18300,18.30,fr2,fr2,yes
dataset_2026_05_06_1655,40,417987509,AoUwfPuiEek2thVRDhMP7HbQb9rguyab4rDiz2NAfwwA,(no data),,,191472,191.47,mid,unknown,no
dataset_2026_05_06_1655,41,417987515,,(no data),,,460007,460.01,tyo,unknown,no
dataset_2026_05_06_1655,42,417987521,RLMS1pv3YKi7CSUCKTNcFN5fFkXJc2SmCwPhbQpqZJo,Realms Validator,Tokyo,JP,18043,18.04,fr2,tyo,no
dataset_2026_05_06_1655,43,417987527,6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,Coinbase 05,Dublin,IE,18221,18.22,fr2,fr2,yes
dataset_2026_05_06_1655,44,417987533,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,Bitwise Onchain Solutions 02,Amsterdam,NL,192097,192.10,mid,fr2,no
dataset_2026_05_06_1655,45,417987539,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,be102.bhs-g1-nc5.qc.ca,,18727,18.73,fr2,unknown,no
dataset_2026_05_06_1655,46,417987544,5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,Upbit Staking,Boardman,US,427879,427.88,tyo,mid,no
dataset_2026_05_06_1655,47,417987551,AfZTWYoFQbzqCMmUBTD7XwxFvjob1FVyCvkaXRryxtKc,Digital Energy,Asia/Singapore,SG,191581,191.58,mid,tyo,no
dataset_2026_05_06_1655,48,417987557,Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,Asymmetric Research,Amsterdam,NL,19673,19.67,fr2,fr2,yes
