dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_tier,expected_tier,match
dataset_2026_05_04_2200,83,417600685,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,Staking Facilities | MEV 🔥,Frankfurt am Main,DE,458515,458.51,tyo,fr2,no
dataset_2026_05_04_2200,84,417600692,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,Forward Industries,Europe/London,GB,17252,17.25,fr2,fr2,yes
dataset_2026_05_04_2200,85,417600698,3rqEEEGjHRyndHuduBcjkf17rX3hgmGACpYTQYeZ5Ltk,StakeThat +MEV,Frankfurt am Main,DE,17690,17.69,fr2,fr2,yes
dataset_2026_05_04_2200,86,417600703,43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,(no data),,,458091,458.09,tyo,unknown,no
dataset_2026_05_04_2200,87,417600710,BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,(no data),,,16517,16.52,fr2,unknown,no
dataset_2026_05_04_2200,88,417600716,DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,Firedancer Development,Frankfurt am Main,DE,19307,19.31,fr2,fr2,yes
dataset_2026_05_04_2200,89,417600722,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,(no name),Amsterdam,NL,16826,16.83,fr2,fr2,yes
dataset_2026_05_04_2200,90,417600728,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,(no data),,,17893,17.89,fr2,unknown,no
dataset_2026_05_04_2200,91,417600734,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,America/Chicago,US,16479,16.48,fr2,mid,no
dataset_2026_05_04_2200,92,417600740,9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,(no name),Amsterdam,NL,17203,17.20,fr2,fr2,yes
dataset_2026_05_04_2200,93,417600746,Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,Shinobi Systems 🚀 stakeview.app,Vancouver,CA,543221,543.22,tyo,mid,no
dataset_2026_05_04_2200,94,417600752,A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,(no name),Amsterdam,NL,20440,20.44,fr2,fr2,yes
dataset_2026_05_04_2200,95,417600757,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Frankfurt am Main,DE,460983,460.98,tyo,fr2,no
dataset_2026_05_04_2200,96,417600764,6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,Coinbase 05,Dublin,IE,459301,459.30,tyo,fr2,no
dataset_2026_05_04_2200,97,417600771,6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,Solana Mobile Validator,Dallas,US,563709,563.71,tyo,mid,no
dataset_2026_05_04_2200,98,417600777,,(no data),,,412264,412.26,tyo,unknown,no
dataset_2026_05_04_2200,99,417600784,pSoLoZx55zZz61gjxSTwHtwTg4yTwdm7ruBmyjbYgT2,(no data),,,17981,17.98,fr2,unknown,no
dataset_2026_05_04_2200,100,417600789,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,(no name),Frankfurt am Main,DE,16377,16.38,fr2,fr2,yes
dataset_2026_05_06_1655,6,417987311,FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS,(no name),Singapore,SG,460922,460.92,tyo,tyo,yes
dataset_2026_05_06_1655,7,417987318,5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,(no name),Tokyo,JP,458860,458.86,tyo,tyo,yes
dataset_2026_05_06_1655,8,417987325,FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,(no name),Amsterdam,NL,17543,17.54,fr2,fr2,yes
dataset_2026_05_06_1655,9,417987330,DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,(no data),,,16191,16.19,fr2,unknown,no
