dataset,run_id,slot,leader_pubkey,leader_name,leader_city,leader_country,client_us,client_ms,observed_bucket,expected_bucket,match
dataset_2026_05_06_1655,55,417987600,,,,,458416,458.42,tyo,unknown,no
dataset_2026_05_06_1655,56,417987607,,,,,16695,16.70,fr2,unknown,no
dataset_2026_05_06_1655,57,417987612,,,,,16278,16.28,fr2,unknown,no
dataset_2026_05_06_1655,58,417987618,,,,,16771,16.77,fr2,unknown,no
dataset_2026_05_06_1655,59,417987623,,,,,22662,22.66,fr2,unknown,no
dataset_2026_05_06_1655,60,417987629,,,,,16909,16.91,fr2,unknown,no
dataset_2026_05_06_1655,61,417987635,,,,,16984,16.98,fr2,unknown,no
dataset_2026_05_06_1655,62,417987641,,,,,16176,16.18,fr2,unknown,no
dataset_2026_05_06_1655,63,417987647,,,,,19553,19.55,fr2,unknown,no
dataset_2026_05_06_1655,64,417987653,,,,,18321,18.32,fr2,unknown,no
dataset_2026_05_06_1655,65,417987659,,,,,459450,459.45,tyo,unknown,no
dataset_2026_05_06_1655,66,417987666,,,,,459144,459.14,tyo,unknown,no
dataset_2026_05_06_1655,67,417987673,,,,,18744,18.74,fr2,unknown,no
dataset_2026_05_06_1655,68,417987678,,,,,17146,17.15,fr2,unknown,no
dataset_2026_05_06_1655,69,417987683,,,,,18559,18.56,fr2,unknown,no
dataset_2026_05_06_1655,70,417987689,,,,,193651,193.65,ewr,unknown,no
dataset_2026_05_06_1655,71,417987695,,,,,18817,18.82,fr2,unknown,no
dataset_2026_05_06_1655,72,417987701,,,,,461279,461.28,tyo,unknown,no
dataset_2026_05_06_1655,73,417987708,,,,,18369,18.37,fr2,unknown,no
dataset_2026_05_06_1655,74,417987714,,,,,198461,198.46,ewr,unknown,no
dataset_2026_05_06_1655,75,417987719,,,,,18148,18.15,fr2,unknown,no
dataset_2026_05_06_1655,76,417987725,,,,,18202,18.20,fr2,unknown,no
dataset_2026_05_06_1655,77,417987731,,,,,191148,191.15,ewr,unknown,no
dataset_2026_05_06_1655,78,417987736,,,,,18646,18.65,fr2,unknown,no
dataset_2026_05_06_1655,79,417987742,,,,,18769,18.77,fr2,unknown,no
dataset_2026_05_06_1655,80,417987748,,,,,18632,18.63,fr2,unknown,no
dataset_2026_05_06_1655,81,417987754,,,,,197279,197.28,ewr,unknown,no
dataset_2026_05_06_1655,82,417987760,,,,,17674,17.67,fr2,unknown,no
dataset_2026_05_06_1655,83,417987766,,,,,18702,18.70,fr2,unknown,no
dataset_2026_05_06_1655,84,417987771,,,,,18353,18.35,fr2,unknown,no
dataset_2026_05_06_1655,85,417987778,,,,,388866,388.87,slc,unknown,no
dataset_2026_05_06_1655,86,417987784,,,,,18440,18.44,fr2,unknown,no
dataset_2026_05_06_1655,87,417987790,,,,,19630,19.63,fr2,unknown,no
dataset_2026_05_06_1655,88,417987796,,,,,18179,18.18,fr2,unknown,no
dataset_2026_05_06_1655,89,417987802,,,,,18398,18.40,fr2,unknown,no
dataset_2026_05_06_1655,90,417987808,,,,,459176,459.18,tyo,unknown,no
dataset_2026_05_06_1655,91,417987815,,,,,472483,472.48,tyo,unknown,no
dataset_2026_05_06_1655,92,417987821,,,,,19033,19.03,fr2,unknown,no
dataset_2026_05_06_1655,93,417987826,,,,,18071,18.07,fr2,unknown,no
dataset_2026_05_06_1655,94,417987832,,,,,262041,262.04,dx1,unknown,no
dataset_2026_05_06_1655,95,417987839,,,,,18356,18.36,fr2,unknown,no
dataset_2026_05_06_1655,96,417987844,,,,,247332,247.33,dx1,unknown,no
dataset_2026_05_06_1655,97,417987851,,,,,258227,258.23,dx1,unknown,no
dataset_2026_05_06_1655,98,417987857,,,,,460591,460.59,tyo,unknown,no
dataset_2026_05_06_1655,99,417987863,,,,,416959,416.96,slc,unknown,no
dataset_2026_05_06_1655,100,417987870,,,,,460098,460.10,tyo,unknown,no
dataset_2026_05_06_1700,6,417988028,,,,,16318,16.32,fr2,unknown,no
dataset_2026_05_06_1700,7,417988035,,,,,16343,16.34,fr2,unknown,no
dataset_2026_05_06_1700,8,417988041,,,,,307383,307.38,dx1,unknown,no
dataset_2026_05_06_1700,9,417988047,,,,,16621,16.62,fr2,unknown,no
dataset_2026_05_06_1700,10,417988052,,,,,16039,16.04,fr2,unknown,no
dataset_2026_05_06_1700,11,417988058,,,,,17014,17.01,fr2,unknown,no
dataset_2026_05_06_1700,12,417988063,,,,,16594,16.59,fr2,unknown,no
dataset_2026_05_06_1700,13,417988068,,,,,17587,17.59,fr2,unknown,no
dataset_2026_05_06_1700,14,417988071,,,,,16411,16.41,fr2,unknown,no
dataset_2026_05_06_1700,15,417988077,,,,,17370,17.37,fr2,unknown,no
dataset_2026_05_06_1700,16,417988083,,,,,458891,458.89,tyo,unknown,no
dataset_2026_05_06_1700,17,417988090,,,,,16857,16.86,fr2,unknown,no
dataset_2026_05_06_1700,18,417988095,,,,,16631,16.63,fr2,unknown,no
dataset_2026_05_06_1700,19,417988099,,,,,15934,15.93,fr2,unknown,no
dataset_2026_05_06_1700,20,417988104,,,,,16052,16.05,fr2,unknown,no
dataset_2026_05_06_1700,21,417988109,,,,,263522,263.52,dx1,unknown,no
dataset_2026_05_06_1700,22,417988115,,,,,18079,18.08,fr2,unknown,no
dataset_2026_05_06_1700,23,417988121,,,,,18431,18.43,fr2,unknown,no
dataset_2026_05_06_1700,24,417988126,,,,,19397,19.40,fr2,unknown,no
dataset_2026_05_06_1700,25,417988132,,,,,460599,460.60,tyo,unknown,no
dataset_2026_05_06_1700,26,417988139,,,,,17820,17.82,fr2,unknown,no
dataset_2026_05_06_1700,27,417988144,,,,,17748,17.75,fr2,unknown,no
dataset_2026_05_06_1700,28,417988151,,,,,470067,470.07,tyo,unknown,no
dataset_2026_05_06_1700,29,417988157,,,,,18199,18.20,fr2,unknown,no
dataset_2026_05_06_1700,30,417988163,,,,,462571,462.57,tyo,unknown,no
dataset_2026_05_06_1700,31,417988169,,,,,460828,460.83,tyo,unknown,no
dataset_2026_05_06_1700,32,417988177,,,,,19391,19.39,fr2,unknown,no
dataset_2026_05_06_1700,33,417988183,,,,,18003,18.00,fr2,unknown,no
dataset_2026_05_06_1700,34,417988188,,,,,17711,17.71,fr2,unknown,no
dataset_2026_05_06_1700,35,417988195,,,,,16183,16.18,fr2,unknown,no
dataset_2026_05_06_1700,36,417988201,,,,,16531,16.53,fr2,unknown,no
dataset_2026_05_06_1700,37,417988206,,,,,18227,18.23,fr2,unknown,no
dataset_2026_05_06_1700,38,417988212,,,,,18060,18.06,fr2,unknown,no
dataset_2026_05_06_1700,39,417988218,,,,,461335,461.33,tyo,unknown,no
dataset_2026_05_06_1700,40,417988224,,,,,17937,17.94,fr2,unknown,no
dataset_2026_05_06_1700,41,417988230,,,,,253134,253.13,dx1,unknown,no
dataset_2026_05_06_1700,42,417988236,,,,,427486,427.49,slc,unknown,no
dataset_2026_05_06_1700,43,417988243,,,,,17930,17.93,fr2,unknown,no
dataset_2026_05_06_1700,44,417988249,,,,,19140,19.14,fr2,unknown,no
dataset_2026_05_06_1700,45,417988255,,,,,460313,460.31,tyo,unknown,no
dataset_2026_05_06_1700,46,417988261,,,,,18234,18.23,fr2,unknown,no
dataset_2026_05_06_1700,47,417988267,,,,,263551,263.55,dx1,unknown,no
dataset_2026_05_06_1700,48,417988272,,,,,460548,460.55,tyo,unknown,no
dataset_2026_05_06_1700,49,417988280,,,,,18519,18.52,fr2,unknown,no
dataset_2026_05_06_1700,50,417988285,,,,,233620,233.62,dx1,unknown,no
dataset_2026_05_06_1700,51,417988291,,,,,458030,458.03,tyo,unknown,no
dataset_2026_05_06_1700,52,417988298,,,,,17533,17.53,fr2,unknown,no
dataset_2026_05_06_1700,53,417988303,,,,,18639,18.64,fr2,unknown,no
dataset_2026_05_06_1700,54,417988309,,,,,460691,460.69,tyo,unknown,no
dataset_2026_05_06_1700,55,417988315,,,,,22321,22.32,fr2,unknown,no
dataset_2026_05_06_1700,56,417988321,,,,,459148,459.15,tyo,unknown,no
dataset_2026_05_06_1700,57,417988328,,,,,18553,18.55,fr2,unknown,no
dataset_2026_05_06_1700,58,417988333,,,,,459708,459.71,tyo,unknown,no
dataset_2026_05_06_1700,59,417988340,,,,,19285,19.29,fr2,unknown,no
dataset_2026_05_06_1700,60,417988346,,,,,18546,18.55,fr2,unknown,no
dataset_2026_05_06_1700,61,417988352,,,,,18848,18.85,fr2,unknown,no
dataset_2026_05_06_1700,62,417988357,,,,,460695,460.69,tyo,unknown,no
dataset_2026_05_06_1700,63,417988363,,,,,460423,460.42,tyo,unknown,no
dataset_2026_05_06_1700,64,417988370,,,,,17677,17.68,fr2,unknown,no
dataset_2026_05_06_1700,65,417988376,,,,,18220,18.22,fr2,unknown,no
dataset_2026_05_06_1700,66,417988381,,,,,16601,16.60,fr2,unknown,no
dataset_2026_05_06_1700,67,417988385,,,,,17469,17.47,fr2,unknown,no
dataset_2026_05_06_1700,68,417988389,,,,,16289,16.29,fr2,unknown,no
dataset_2026_05_06_1700,69,417988395,,,,,18193,18.19,fr2,unknown,no
dataset_2026_05_06_1700,70,417988402,,,,,273915,273.92,dx1,unknown,no
dataset_2026_05_06_1700,71,417988407,,,,,18659,18.66,fr2,unknown,no
dataset_2026_05_06_1700,72,417988413,,,,,460626,460.63,tyo,unknown,no
dataset_2026_05_06_1700,73,417988419,,,,,17136,17.14,fr2,unknown,no
dataset_2026_05_06_1700,74,417988424,,,,,17768,17.77,fr2,unknown,no
dataset_2026_05_06_1700,75,417988431,,,,,18691,18.69,fr2,unknown,no
dataset_2026_05_06_1700,76,417988436,,,,,197508,197.51,ewr,unknown,no
dataset_2026_05_06_1700,77,417988442,,,,,17959,17.96,fr2,unknown,no
dataset_2026_05_06_1700,78,417988448,,,,,191302,191.30,ewr,unknown,no
dataset_2026_05_06_1700,79,417988454,,,,,17155,17.16,fr2,unknown,no
dataset_2026_05_06_1700,80,417988461,,,,,18925,18.93,fr2,unknown,no
dataset_2026_05_06_1700,81,417988467,,,,,16156,16.16,fr2,unknown,no
dataset_2026_05_06_1700,82,417988472,,,,,16107,16.11,fr2,unknown,no
dataset_2026_05_06_1700,83,417988478,,,,,18423,18.42,fr2,unknown,no
dataset_2026_05_06_1700,84,417988484,,,,,18873,18.87,fr2,unknown,no
dataset_2026_05_06_1700,85,417988490,,,,,190822,190.82,ewr,unknown,no
dataset_2026_05_06_1700,86,417988496,,,,,460958,460.96,tyo,unknown,no
dataset_2026_05_06_1700,87,417988502,,,,,18261,18.26,fr2,unknown,no
dataset_2026_05_06_1700,88,417988508,,,,,16850,16.85,fr2,unknown,no
dataset_2026_05_06_1700,89,417988513,,,,,18366,18.37,fr2,unknown,no
dataset_2026_05_06_1700,90,417988518,,,,,17362,17.36,fr2,unknown,no
dataset_2026_05_06_1700,91,417988524,,,,,16096,16.10,fr2,unknown,no
dataset_2026_05_06_1700,92,417988529,,,,,460755,460.75,tyo,unknown,no
dataset_2026_05_06_1700,93,417988536,,,,,18253,18.25,fr2,unknown,no
dataset_2026_05_06_1700,94,417988541,,,,,191106,191.11,ewr,unknown,no
